Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
KPJ40400	Pronta x consegna	RENEGADE	17/01/2020		Costantino	Autoservice			freccia dx										
KPJ52359	PF–Preparazionefinale	RENEGADE	29/01/2020		Juliano	Autoservice			PARABREZZA	CALOTTA 									, freccia specchio sx
KPJ65262	IC–INCarrozzeria	RENEGADE	10/01/2020		Costantino	Beauty Car			CALOTTA  DX (PLASTICA NERA)	TERZO STOP	CAPPELLIERA	RINFRANGENTE PARAFANGO ANT SX	FANALE POST SX						Ritornata beautycar
KPJ45099	Pronta x consegna	RENEGADE	13/01/2020		Costantino	Beauty Car		TCA											
KPJ68989	Pronta x consegna	RENEGADE	17/01/2020		Costantino	Beauty Car		TCA	3° STOP	Specchio est sx									
KPJ51264	FA-Fatturato	RENEGADE	09/01/2020	20/02/2020	Damiani	Beauty Car			CALOTTA  SX	VETRINO SPECCHIO SX									
KPJ69133	PF–Preparazionefinale	RENEGADE	03/02/2020		Damiani	Beauty Car		TCA	PARABREZZA	FANALE POST DX									
KT710767	FA-Fatturato	COMPASS	21/01/2020	28/02/2020	Ederson	Beauty Car			MOD LATO SX ANT/POST/PARAFANGO POST	MOD COFANO POST									
KPJ65014	Pronta x consegna	RENEGADE	24/01/2020		Ederson	Beauty Car	 	TCA	CALOTTA DX	FRECCIA SPECCHIO DX									
KPJ28062	Pronta x consegna	RENEGADE	16/01/2020		Ederson	Beauty Car		TCA	SPORTELLO CARBURANTE	FANALE POST DX	PARABREZZA								
KT635338	IC–INCarrozzeria	COMPASS	04/03/2020		Fabrizio	Beauty Car	X Car	TCA	FANALE ANT SX	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	CORRIMANO SX							Ritornata beautycar
KPJ33471	FA-Fatturato	RENEGADE	07/01/2020	13/02/2020	Juliano	Beauty Car			3° STOP										
KPJ54621	IC–INCarrozzeria	RENEGADE	31/01/2020		Juliano	Beauty Car			RASAVETRO ant e post dx	CATADIOTTRO ANT DX									
KPJ30399	PF–Preparazionefinale	RENEGADE	29/01/2020		Juliano	Beauty Car		TCA	PARABREZZA	FRECCIA SX 	3° STOP		rasch ant sx						rasch ant sx
KPJ44623	FA-Fatturato	RENEGADE	09/01/2020	13/02/2020	Leo	Beauty Car													
KPJ65113	FA-Fatturato	RENEGADE	09/01/2020	13/02/2020	Leo	Beauty Car													
KT691023	FA-Fatturato	COMPASS	10/01/2020	03/03/2020	Leo	Beauty Car			PARABREZZA	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST									
KPJ96712	Pronta x consegna	RENEGADE	20/01/2020		Leo	Beauty Car		TCA	CALOTTA  DX	FANALE POST DX									
KPJ50392	Pronta x consegna	RENEGADE	31/01/2020		Rafael	Beauty Car		TCA	FANALE POST SX	TERZO	BASE BASE ANTENNA								
KT710685	Pronta x consegna	COMPASS	27/02/2020		Rafael	Beauty Car			MOD LATO SX  ANT/POST/PARAFANGO POST	PARABREZZA									
KPJ49584	FA-Fatturato	RENEGADE	10/01/2020	18/02/2020	Roberto	Beauty Car			3° STOP	FANALE POST SX	CAPPELLIERA								
KPJ65648	IC–INCarrozzeria	RENEGADE	10/01/2020		Roberto	Beauty Car		TCA	NOTTOLINO COPRI TERGICRISTALLO	VETRO FISSO (PARAFANGO POST SX)	FANALE POST SX	CAPPELLIERA	Passamano sinistro						Ritornata beautycar
KPJ44617	PF–Preparazionefinale	RENEGADE	14/01/2020		Roberto	Beauty Car			PARABREZZA	cristallo finetrino posteriore dx 									Freccia ant sx e raschiavetro ant sx
KPK30408	Pronta x consegna	RENEGADE	16/01/2020		Roberto	Beauty Car		TCA	CALOTTA  SX	FANALE POST SX	3° STOP								
KT633448	Pronta x consegna	COMPASS	10/01/2020		Roberto	Beauty Car		TCA	FANALE POST DX (PA)	TERZO STOP	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST							Forse Gil
KT762282	Pronta x consegna	COMPASS	13/01/2020		Roberto	Beauty Car		TCA	PARABREZZA	MOD LATO DX  ANT/POST/PARAFANGO POST	Calandra tra cofano e parabrezza	FARO POST DX (PA)							
KT606175	Pronta x consegna	COMPASS	13/01/2020		Ciro	Beautycar		TCA	PARABREZZA	MOD lato sx  ANT/POST/PARAFANGO POST	CORRIMANO SX	MOD COFANO POST							
KT660343	PF–Preparazionefinale	COMPASS	13/03/2020		Ederson	Beautycar			PARABREZZA	Calandra tra cofano e parabrezza	MOD LATO SX ANT/POST/PARAFANGO	MONTANTE PORTA ANT SX	MOD COFANO POST	MOD LATO DX P					Raschiavetri ant e post sx, modanature tutte a sx, plastiche davanti a barre tetto sia sx che dx, fascione, coprimontante ant sx
KPJ47695	Pronta x consegna	RENEGADE	10/02/2020		Ederson	Beautycar		TCA	3° STOP										
KT604336	Pronta x consegna	COMPASS	05/03/2020		Ederson	Beautycar	 	TCA	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	CORRIMANO DX									
KT705495	PF–Preparazionefinale	COMPASS	13/03/2020		Fabrizio	Beautycar			MOD COFANO POST 	MOD LATO DX ANT/POST/PARAFANGO POST	GUARNIZIONE PARABREZZA ANT DX 	MOD lato sx  ANT/POST							Modanature tutte a dx e parafango post sx nere, coprimontante post dx della porta post, tappini, fascione 
KT684955	Pronta x consegna	COMPASS	21/02/2020		Fabrizio	Beautycar		TCA	MOD lato dx  ANT/POST/PARAFANGO POST	corrimano dx	fanale post DX (PA)								
KPJ95203	PF–Preparazionefinale	RENEGADE	11/03/2020		Juliano	Beautycar			FRECCIA DX	CALOTTA  DX	RASAVETRO ANT E POST SX								Raschiavetri ant dx e sx, catarifrangente dx, tappi barre tetto
KT606879	PF–Preparazionefinale	COMPASS	13/03/2020		Juliano	Beautycar			MOD lato dx  ANT/POST/PARAFANGO POST	MOD COFANO POST	PARABREZZA		MOD LATO SX SUPERIORI ANT/POST						Plastiche dx e sx davanti alle barre tetto, plastica dx tra vetro e cofano, modanature tutte dx e ant sx, copribarra sx, coprimontante ant dx e sx e post della porta post dx, fascione, tappini 
KPJ61904	PF–Preparazionefinale	RENEGADE	13/03/2020		Rafael	Beautycar			PARABREZZA	RASAVETRO ANT SX									Raschiavetri ant e post sx,
KT663366	PF–Preparazionefinale	COMPASS	13/03/2020		Rafael	Beautycar			MOD LATO DX ANT/POST/PARAFANGO POST	CORRIMANO DX	MONT POST PORTA POST DX	MONT PORTA DX							
KPK49449	Pronta x consegna	RENEGADE	21/02/2020		Rafael	Beautycar		TCA	FRECCIA ANT SPECCHIETTO										
KPJ61676	Pronta x consegna	RENEGADE	10/02/2020		Roberto	Beautycar		TCA	TERGILUNOTTO										
KPJ86545	PF–Preparazionefinale	RENEGADE	21/01/2020		Ederson	Bonfanti			3° STOP	PARABREZZA	Freccia Specchio dx								Raschiavetro ant sx, Freccia specchio sx, calotta sx, spazzola tergi ant
KPJ30342	Pronta x consegna	RENEGADE	29/01/2020		Rafael	Bonfanti			3° STOP	FARO POST SX 									
KPJ58728	Pronta x consegna	RENEGADE	19/02/2020		Costantino	Cantù			FRECCIA SPECCHIIO SX	RASAVETRO ANT E POST DX									Enrico Modena
KT607963	Pronta x consegna	COMPASS	13/02/2020		Costantino	Cantù	X Car		MOD LATO DX  ANT/POST/PARAFANGO POST	MOD COFANO POST	3° STOP	CALANDRA SOTTOPARABREZZA	MONTANTE ANT PORTA ANT DX	MONTANTE ANT PORTA ANT DX					
KPJ54195	IC–INCarrozzeria	RENEGADE	19/02/2020		Damiani	Cantù			RASAVETRO ANT + POST SX										
KPJ64564	IC–INCarrozzeria	RENEGADE	11/03/2020		Ederson	Cantù			FRECCIA SPECCHIO SX	RASAVETRO ANT E POST SX	FANALE POST SX	3° STOP							
KPK17234	IC–INCarrozzeria	RENEGADE	11/03/2020		Ederson	Cantù			3° STOP	RASAVETRO ANT DX									
KT646288	PF–Preparazionefinale	COMPASS	14/02/2020		Ederson	Cantù	X Car		MOD LATO SX ANT/POST/PARAFANGO POST	PARABREZZA	MOD LATO DX SUPERIORI ANT								Cofan xcar?
KT736276	Pronta x consegna	COMPASS+A4B419:C462	19/02/2020		Ederson	Cantù			MOD LATO SX  ANT/POST/PARAFANGO POST	FANALE POST SX (PA)	CORRIMANO SX	FANALE POST DX (PA)							Cofano, fascione post, tappini, scritta porta sx
KT663575	IC–INCarrozzeria	COMPASS	04/03/2020		Fabrizio	Cantù			MOD COFANO POST (C)	FANALE POST SX (PA)	MOD LATO SX ANT/POST/PARAFANGO POST		CORRIMANO SX	PROFILI ANT TETTO DX E SX	PROFILI POST TETTO DX E SX	MONTANTE PORTA POST SX POST			
KT684954	IC–INCarrozzeria	COMPASS	21/02/2020		Fabrizio	Cantù			MOD lato dx  ANT/POST/PARAFANGO POST	MOD COFANO POST	MONTANTE POST PORTA POST DX								
KPJ43971	IC–INCarrozzeria	RENEGADE	13/03/2020		Juliano	Cantù			FANALE POST SX	FRECCIA SPECCHIO SX	3° STOP								
K7C26870	Pronta x consegna	STELVIO	12/02/2020	06/05/2020	Rafael	Cantù			PARABREZZA	fanale post dx (portellone)	VETRO SPECCHIO ESTERNO SINISTRO	MOD POST DX	TAPPINO TERGICRISTALLO LATO GUIDA						, vetro specchio sx 
KT710791	FA-Fatturato	COMPASS	14/02/2020	16/04/2020	Roberto	Cantù			MOD lato dx  ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE ANT. DX	TERZO STOP	MONTANTE ANT PORTA POST DX	MONTANTE POST PORTA POST DX					
KPJ45536	FA-Fatturato	RENEGADE	24/01/2020	09/03/2020	Ciro	Cavallari	Eurocar		FRECCIA SPECCHIO DX	TERZO STOP	RINFRANGENTE ANT DX								Tetto e 2 porte
